THEME,TITLE,ARTIST,YEAR,SPOTIFY_URL
Heartbreak,Let_Me_Down_Easy,Bettye_LaVette,1965,http://open.spotify.com/track/0MvsfFXD0XkeOcPUOO5XaH
Heartbreak,Jealous_Guy,John_Lennon,1971,
Heartbreak,Bleeding_Love,Leona_Lewis,2007,http://open.spotify.com/track/6LtPIXlIzPOTF8vTecYjRe
Heartbreak,Crazy_For_You,Madonna,1985,http://open.spotify.com/track/6idFcUh2Gc8wdtwuR0sfFN
Heartbreak,Yes,McAlmont_and_Butler,1995,http://open.spotify.com/track/6joAGL5IuD66Qgcz049ObW
Heartbreak,Itâ€™s_All_in_the_Game,Van_Morrison,1979,http://open.spotify.com/track/4LPR6jSlFTTHavQVaYLfXR
Heartbreak,The_More_You_Ignore_Me__The_Closer_I_Get,Morrissey,1994,http://open.spotify.com/track/2ljH5Nxub9QIJ1WE1hsVU3
Heartbreak,No_Children,The_Mountain_Goats,2003,http://open.spotify.com/track/6KyyTheVmJZsNdqwOj0MR3
NA,,,NA,
Heartbreak,Blue_Monday,New_Order,1983,http://open.spotify.com/track/6cxLRWPZQ6dmb0lJ5Ph8Tu
Heartbreak,Nothing_Compares_2_U,Sinead_Oâ€™Connor,1990,http://open.spotify.com/track/07iHAswcApphvyllRDQrEa
Heartbreak,To_Cry_About,Mary_Margaret_Oâ€™Hara,1988,
Heartbreak,Crying,Roy_Orbison,1961,http://open.spotify.com/track/3oVeLS6WNWf7tAGev4Y6vM
Heartbreak,Love_Hurts,Gram_Parsons_with_Emmylou_Harris,1974,http://open.spotify.com/track/51sT9Y2lXJocjVUhA5NFK1
Heartbreak,$1_000_Wedding,Gram_Parsons,1974,http://open.spotify.com/track/53egTlbVDqNH2SRmZTknrC
Heartbreak,Jolene,Dolly_Parton,1973,http://open.spotify.com/track/5fdhThPDe6jQQDqCyWrdAn
Heartbreak,It_Was_Jealousy,Ann_Peebles,1976,
Sex,Letâ€™s_Talk_About_Sex,Salt-n-Pepa,1990,
Heartbreak,Ur_So_Gay,Katy_Perry,2007,http://open.spotify.com/track/5monag19nA467DCEUmE7Lq
Heartbreak,Divorce_Song,Liz_Phair,1993,
Heartbreak,Canâ€™t_Stand_Losing_You,The_Police,1978,http://open.spotify.com/track/1VKbWRpwV2XXSJSZ2w534h
Heartbreak,Every_Breath_You_Take,The_Police,1983,http://open.spotify.com/track/0A4Btqar6Y5B4hfs9pZnSE
Heartbreak,Always_on_My_Mind,Elvis_Presley,1972,http://open.spotify.com/track/7mm18MJI4UpSS2IfsId0qB
Heartbreak,Suspicious_Minds,Elvis_Presley,1969,http://open.spotify.com/track/21uqk0VElbm5bxCNTR3E6M
Heartbreak,Beware_of_Young_Girls,Dory_Previn,1970,http://open.spotify.com/track/6G73YaSHMs0tP2gCNvSnjE
Heartbreak,When_Doves_Cry,Prince,1984,http://open.spotify.com/track/5OLaGD9QaSn2pRmBr6hYqb
Heartbreak,Jaan_Pehechaan_Ho,Mohammed_Rafi,1965,http://open.spotify.com/track/6o1fs0vkkFGT8lSkMAXe1o
Heartbreak,Sad_Song,Lou_Reed,1973,
Heartbreak,Everybody_Hurts,REM,1992,http://open.spotify.com/track/28AZM08WStiEXfqN065BvN
